Lat,Lon,Title,Link,Condition,Impact
-13.599,12.777,Drought alert level is Orange.,https://www.gdacs.org/report.aspx?eventtype=DR&eventid=1014416,2.0,2.0
-18.506,48.505,Drought alert level is Red.,https://www.gdacs.org/report.aspx?eventtype=DR&eventid=1014495,1.0,1.0
37.602,42.576,Drought alert level is Orange.,https://www.gdacs.org/report.aspx?eventtype=DR&eventid=1014392,2.0,2.0
-18.184,-55.449,Drought alert level is Orange.,https://www.gdacs.org/report.aspx?eventtype=DR&eventid=1013868,2.0,2.0
-57.9934,-25.4308,earthquake occurred in South Georgia and the South Sandwich Islands (5M),https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1282687,3.0,3.0
-20.5775,169.9759,earthquake occurred in Vanuatu (4.5M),https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1282690,3.0,3.0
-11.975,166.5693,earthquake occurred in Solomon Islands (4.8M),https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1282671,3.0,3.0
-57.172,-25.0797,earthquake occurred in South Georgia and the South Sandwich Islands (5M),https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1282667,3.0,3.0
-9.2484,124.1658,earthquake occurred in Timor-Leste (4.8M),https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1282654,3.0,3.0
-58.6099,-23.0739,earthquake occurred in South Georgia and the South Sandwich Islands (5.2M),https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1282652,3.0,3.0
20.5805,145.3323,earthquake occurred in Mariana Islands (4.8M),https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1282649,3.0,3.0
-57.11,-25.1603,earthquake occurred in South Georgia and the South Sandwich Islands (5.1M),https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1282645,3.0,3.0
20.3,-144.0,Tropical Storm( 213 km/h),https://www.gdacs.org/report.aspx?eventtype=TC&eventid=1000812,3.0,3.0
