Lat,Lon,Description,Link,Scale,Size
41.703206,-72.646089,Active shooter firing multiple rounds at police in Connecticut,https://t.co/ZHnnMh4BZp,2,2
35.843349,-86.584571,Reports of an active shooter at a Tennessee high school,https://t.co/bcSHvZ8jSY,2,2
40.14073,-82.799507,Shooting reported at St. Ann’s Hospital in Ohio,https://t.co/JLK2uLA1iq,2,2
