Lat,Lon,Description,Link
35.843349,-86.584571,Reports of an active shooter at a Tennessee high school,https://t.co/bcSHvZ8jSY
40.14073,-82.799507,Shooting reported at St. Ann’s Hospital in Ohio,https://t.co/JLK2uLA1iq
